Station-ID;Name;Zeitstempel;Lufttemperatur;Regen in 1 h;Regen in 24 h;Regen in 48 h;Koordinaten;Stadtklima Basel Link;Unix Zeitstempel
0340015E;Lysbüchel 1;2025-04-14T09:08:00+02:00;13.2;0.0;13.8;15.0;47.57355, 7.57355;https://meteoblue.com/de/products/cityclimate/basel#0340015E;1744614480
03400163;Office Ready (31.03.25);2025-04-14T09:00:08+02:00;13.0;0.0;3.8;3.8;;https://meteoblue.com/de/products/cityclimate/basel#03400163;1744614008
0340016D;Binningen;2025-04-14T09:00:12+02:00;13.43;0.0;19.4;21.2;47.54101, 7.58367;https://meteoblue.com/de/products/cityclimate/basel#0340016D;1744614012
0340019A;Gleisbett (Mast 2);2025-04-14T09:09:35+02:00;13.08;0.0;0.0;0.0;47.54253, 7.60985;https://meteoblue.com/de/products/cityclimate/basel#0340019A;1744614575
034001A8;Kleinriehenstrasse;2025-04-14T09:00:28+02:00;13.12;0.0;17.6;20.8;47.56673, 7.61365;https://meteoblue.com/de/products/cityclimate/basel#034001A8;1744614028
034001AA;Mast 5 (Gleisbett);2025-04-14T09:09:40+02:00;13.3;0.0;0.0;0.0;47.5428, 7.60326;https://meteoblue.com/de/products/cityclimate/basel#034001AA;1744614580
034001AD;Office Ready (31.03.25);2025-04-14T09:03:33+02:00;13.84;0.0;17.2;17.6;;https://meteoblue.com/de/products/cityclimate/basel#034001AD;1744614213
03400394;Brünnlinrain (Laterne);2025-04-14T08:50:25+02:00;12.96;0.0;15.0;16.2;47.59267, 7.65379;https://meteoblue.com/de/products/cityclimate/basel#03400394;1744613425
034003AE;Office Ready (31.03.25);2025-04-14T08:59:16+02:00;13.13;0.0;17.6;21.4;;https://meteoblue.com/de/products/cityclimate/basel#034003AE;1744613956
0340996F;Moosackerweg;2025-04-14T07:13:06+02:00;10.48;0.0;16.6;17.8;47.45687, 7.59547;https://meteoblue.com/de/products/cityclimate/basel#0340996F;1744607586
03409972;Hasenrainstrasse;2025-04-14T08:59:23+02:00;;0.0;13.8;15.4;47.54391, 7.56751;https://meteoblue.com/de/products/cityclimate/basel#03409972;1744613963
03409974;Hofstrasse;2025-04-14T08:58:08+02:00;12.9;0.2;13.6;14.8;47.55773, 7.62675;https://meteoblue.com/de/products/cityclimate/basel#03409974;1744613888
03409978;Salinenstrasse;2025-04-14T09:08:42+02:00;11.99;0.0;25.4;25.4;47.54855359927797, 7.627210553407675;https://meteoblue.com/de/products/cityclimate/basel#03409978;1744614522
03409993;Rüdinstrasse;2025-04-14T09:03:49+02:00;13.44;0.0;24.2;27.2;47.5713, 7.64038;https://meteoblue.com/de/products/cityclimate/basel#03409993;1744614229
03409994;Badischer Bahnhof;2025-04-14T08:52:36+02:00;13.55;0.0;1.4;1.4;47.56586, 7.60742;https://meteoblue.com/de/products/cityclimate/basel#03409994;1744613556
03409997;Office Ready (31.03.25);2025-04-14T09:07:37+02:00;15.1;0.0;15.6;16.6;;https://meteoblue.com/de/products/cityclimate/basel#03409997;1744614457
034099B0;Dorneckstrasse;2025-04-14T08:08:09+02:00;11.96;0.0;13.6;13.6;47.48164, 7.61958;https://meteoblue.com/de/products/cityclimate/basel#034099B0;1744610889
034099B2;In den Schorenmatten;2025-04-14T08:56:52+02:00;13.53;0.0;16.8;18.4;47.57105, 7.60819;https://meteoblue.com/de/products/cityclimate/basel#034099B2;1744613812
034099BB;Erlenmatt 3;2025-04-14T09:01:16+02:00;13.27;0.0;8.8;10.4;47.56981, 7.60271;https://meteoblue.com/de/products/cityclimate/basel#034099BB;1744614076
034099BC;Rheinpromenade 3;2025-04-14T09:00:59+02:00;16.72;0.0;0.0;0.0;47.57367, 7.58341;https://meteoblue.com/de/products/cityclimate/basel#034099BC;1744614059
034099C0;Office;2025-04-14T09:06:05+02:00;13.79;0.0;4.4;5.2;;https://meteoblue.com/de/products/cityclimate/basel#034099C0;1744614365
03409FF8;Westquaistrasse;2025-04-14T09:06:53+02:00;13.7;0.0;15.6;18.4;47.58648, 7.58861;https://meteoblue.com/de/products/cityclimate/basel#03409FF8;1744614413
0340A001;Alte Straße;2025-04-14T08:44:51+02:00;13.27;0.0;16.2;18.6;47.5994809271, 7.5985499475578;https://meteoblue.com/de/products/cityclimate/basel#0340A001;1744613091
0340A002;Benkenstrasse;2025-04-14T08:44:32+02:00;13.15;0.0;20.0;20.0;47.54863, 7.5737;https://meteoblue.com/de/products/cityclimate/basel#0340A002;1744613072
0340A00A;Office;2025-04-14T08:54:32+02:00;16.43;0.0;0.0;0.0;;https://meteoblue.com/de/products/cityclimate/basel#0340A00A;1744613672
0340AD71;Schulhaus Leonhard 2;2025-04-14T08:49:02+02:00;12.9;0.0;16.0;18.0;47.5544591200586, 7.586940062736751;https://meteoblue.com/de/products/cityclimate/basel#0340AD71;1744613342
0340AD89;Unterer Rheinweg 82;2025-04-14T09:01:42+02:00;16.78;0.0;8.6;9.4;47.56598, 7.58689;https://meteoblue.com/de/products/cityclimate/basel#0340AD89;1744614102
0340AD94;Gundeldingerstrasse 1;2025-04-14T08:38:21+02:00;12.35;0.0;3.2;3.6;47.54323, 7.58335;https://meteoblue.com/de/products/cityclimate/basel#0340AD94;1744612701
